CAMP	CAMP4 Therapeutics Corporation Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	276741612
CAPR	Capricor Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	546506497
CARL	Carlsmed Inc. Common Stock	Health Care	Medical/Dental Instruments	425922791
CARS	Cars.com Inc. Common Stock 	Technology	EDP Services	627938735
CASS	Cass Information Systems Inc Common Stock	Consumer Discretionary	Business Services	714711176
CATX	Perspective Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	357294705
CBIO	Crescent Biopharma Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	775565467
CBK	Commercial Bancgroup Inc. Common Stock	Finance	Major Banks	476804196
CBL	CBL & Associates Properties Inc. Common Stock	Real Estate	Real Estate Investment Trusts	1701232780
CBLL	CeriBell Inc. Common Stock	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	948706657
CBZ	CBIZ Inc. Common Stock	Consumer Discretionary	Business Services	2976373763
CCAP	Crescent Capital BDC Inc. Common stock	Finance	Finance: Consumer Services	382092522
CCCC	C4 Therapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	462574511
CCLD	CareCloud Inc. Common Stock	Technology	Computer Software: Prepackaged Software	94761306
CCO	Clear Channel Outdoor Holdings Inc. Common Stock	Consumer Discretionary	Advertising	1211643351
CCSI	Consensus Cloud Solutions Inc. Common Stock	Technology	Computer Software: Prepackaged Software	647969242
CDNA	CareDx Inc. Common Stock	Health Care	Medical Specialities	2632237266
CDNL	Cardinal Infrastructure Group Inc. Class A Common Stock	Industrials	Military/Government/Technical	1729443539
CDRE	Cadre Holdings Inc. Common Stock	Health Care	Industrial Specialties	1274345044
CDZI	CADIZ Inc. Common Stock	Utilities	Water Supply	352680017
CEPL	Capstone Energy Plus Inc. Common Stock	Industrials	Industrial Machinery/Components	184581594
CERS	Cerus Corporation Common Stock	Health Care	Medical/Dental Instruments	521949486
CEVA	CEVA Inc. Common Stock	Technology	Computer Software: Programming Data Processing	758752240
CGBD	Carlyle Secured Lending Inc. Common Stock	Finance	Finance: Consumer Services	804325552
CGEM	Cullinan Therapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	1421595190
CHCI	Comstock Holding Companies Inc. Class A Common Stock	Finance	Real Estate	217463285
CHMI	Cherry Hill Mortgage Investment Corporation Common Stock	Real Estate	Real Estate Investment Trusts	109364286
CHPT	ChargePoint Holdings Inc. Common Stock	Miscellaneous	Industrial Machinery/Components	267030000
CHRN	ChronoScale Holdings Corporation Common Stock	Industrials	Industrial Machinery/Components	2950614778
CIM	Chimera Investment Corporation Common Stock	Real Estate	Real Estate Investment Trusts	974405562
CING	Cingulate Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	74163313
CION	CION Investment Corporation Common Stock	Finance	Finance/Investors Services	361147847
CIX	CompX International Inc. Common Stock	Consumer Discretionary	Industrial Machinery/Components	431782995
CLBK	Columbia Financial Inc. Common Stock	Finance	Savings Institutions	1217355387
CLFD	Clearfield Inc. Common Stock	Utilities	Telecommunications Equipment	389180311
CLMB	Climb Global Solutions Inc. Common Stock	Technology	Retail: Computer Software & Peripheral Equipment	544330840
CLOV	Clover Health Investments Corp. Class A Common Stock	Health Care	Medical Specialities	2260069899
CLPT	ClearPoint Neuro Inc. Common Stock	Health Care	Medical/Dental Instruments	425839009
CLW	Clearwater Paper Corporation Common Stock	Basic Materials	Paper	337392823
CLYM	Climb Bio Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	891410678
CMCO	Columbus McKinnon Corporation Common Stock	Industrials	Construction/Ag Equipment/Trucks	543802357
CMDB	Costamare Bulkers Holdings Limited Common Stock	Consumer Discretionary	Marine Transportation	579122304
